name,true_score,game,review_link,useless1,Site_address,useless12,useless13,useless14,,
DarkStation,60,,http://www.slantmagazine.com/games/review/disney-infinity-2-0,,,,,,,
JeuxActu,60,,,,,,,,,
Metro GameCentral,60,,,,,,,,,
GamingTrend,50,,,,,,,,,
GamesRadar+,50,,,,,,,,,
Slant Magazine,30,,,,,,,,,
Slant Magazine,100,DmC: Devil May Cry Definitive Edition,http://www.slantmagazine.com/games/review/dmc-devil-may-cry-definitive-edition,http:,www.slantmagazine.com,games,review,dmc-devil-may-cry-definitive-edition,,
God is a Geek,95,,http://www.godisageek.com/reviews/dmc-devil-may-cry-definitive-edition-review/,,,,,,,
Gaming Age,91,,http://www.gaming-age.com/2015/03/dmc-devil-may-cry-definitive-edition-review-for-ps4-xbox-one/,,,,,,,
Gamer.nl,90,,http://www.gamer.nl/review/500555/dmc-devil-may-cry-definitive-edition-hack-and-slash-hemel,,,,,,,
Playstation Universe,90,,http://www.psu.com/review/26146/DmC--Devil-May-Cry--Definitive-Edition-PS4-Review,,,,,,,
Gaming Nexus,90,,http://www.gamingnexus.com/Article/4728/Devil-May-Cry-Definitive-Edition/,,,,,,,
VideoGamer,90,,http://www.videogamer.com/reviews/dmc_review_ps4.html,,,,,,,
USgamer,90,,http://www.usgamer.net/articles/dmc-definitive-edition-ps4-review-,,,,,,,
GameSpot,90,,http://www.gamespot.com/reviews/dmc-devil-may-cry-definitive-edition-review/1900-6416051/,,,,,,,
We Got This Covered,90,,http://wegotthiscovered.com/gaming/dmc-devil-may-cry-definitive-edition-review/,,,,,,,
XGN,90,,http://www.xgn.nl/review/dmc-devil-may-cry-definitive-edition-review,,,,,,,
Game Informer,90,,http://www.gameinformer.com/games/dmc_devil_may_cry_definitive_edition/b/playstation4/archive/2015/03/10/dmc-devil-may-cry-definitive-edition-review-game-informer.aspx,,,,,,,
Hobby Consolas,89,,http://www.hobbyconsolas.com/reviews/analisis-devil-may-cry-definitive-edition-112230,,,,,,,
IGN,89,,http://www.ign.com/articles/2015/03/10/dmc-devil-may-cry-definitive-edition-review,,,,,,,
IGN Italia,88,,http://it.ign.com/dmc-devil-may-cry-definitive-edition-ps4/94302/review/dmc-devil-may-cry-la-recensione-della-definitive-e,,,,,,,
InsideGamer.nl,87,,http://www.insidegamer.nl/recensies/116086/dmc-devil-may-cry-definitive-edition-review-60fpblablabla,,,,,,,
LevelUp,87,,http://www.levelup.com/PlayStation-4/juegos/308435/DmC-Definitive-Edition/review,,,,,,,
Digital Chumps,86,,http://digitalchumps.com/game-reviews/352-playstation-4/dmcde-rv.html,,,,,,,
PSX-Sense.nl,85,,http://www.psx-sense.nl/187142/review-dmc-devil-may-cry-definitive-edition/,,,,,,,
JeuxActu,85,,%20http://www.jeuxactu.com/test-dmc-definitive-edition-sur-ps4-et-xbox-one-97749.htm,,,,,,,
3DJuegos,85,,http://www.3djuegos.com/juegos/analisis/21103/0/dmc-devil-may-cry-definitive-edition/,,,,,,,
Arcade Sushi,85,,http://arcadesushi.com/dmc-devil-may-cry-definitive-edition-review-playstation-4/,,,,,,,
NZGamer,85,,http://nzgamer.com/reviews/2232/dmc-definitive-edition.html,,,,,,,
The Jimquisition,85,,http://www.thejimquisition.com/2015/03/dmc-devil-may-cry-definitive-edition-review/,,,,,,,
Impulsegamer,84,,http://www.impulsegamer.com/dmc-devil-may-cry-definitive-edition-ps4-review/,,,,,,,
Vandal Online,83,,http://www.vandal.net/analisis/ps4/dmc-definitive-edition/27642,,,,,,,
LaPS4,82,,http://www.laps4.com/analisis/418784-analisis_dmc_devil_may_cry_definitive_edition.html,,,,,,,
Digital Spy,80,,http://www.digitalspy.com/gaming/review/a636100/dmc-definitive-edition-review-ps4-more-than-just-the-typical-hd-remaster.html,,,,,,,
Merlin'in Kazanı (Turkey),80,,http://www.merlininkazani.com/DmC_Devil_May_Cry_Definite_Edition-oyun_inceleme-80418p1.html,,,,,,,
DarkZero,80,,http://darkzero.co.uk/game-reviews/dmc-devil-may-cry-definitive-edition-ps4/,,,,,,,
Metro GameCentral,80,,http://metro.co.uk/2015/03/13/dmc-devil-may-cry-definitive-edition-review-dantes-second-chance-5101411/,,,,,,,
Gamestyle,80,,http://gamestyle.com/review/dmc-devil-may-cry-definitive-edition-review/,,,,,,,
Digitally Downloaded,80,,http://www.digitallydownloaded.net/2015/03/review-dmc-devil-may-cry-definitive.html,,,,,,,
Twinfinite,80,,http://www.twinfinite.net/2015/03/10/dmc-devil-may-cry-definitive-edition-review/,,,,,,,
Everyeye.it,80,,http://www.everyeye.it/ps4/articoli/dmc-definitive-edition_recensione_25226,,,,,,,
Push Square,80,,http://www.pushsquare.com/reviews/ps4/dmc_devil_may_cry_-_definitive_edition,,,,,,,
GamesVillage.it,80,,http://www.gamesvillage.it/videogiochi/dmc-definitive-edition-recensione-review-ps4-xbox-one/,,,,,,,
Hardcore Gamer,80,,http://www.hardcoregamer.com/2015/03/10/review-dmc-devil-may-cry-definitive-edition/137844/,,,,,,,
Eurogamer Italy,80,,http://www.eurogamer.it/articles/2015-03-10-dmc-devil-may-cry-definitive-edition-recensione,,,,,,,
PlayStation LifeStyle,80,,http://www.playstationlifestyle.net/2015/03/10/dmc-definitive-edition-review-ps4-demon-killing-at-its-best/#/slide/1,,,,,,,
GamesRadar+,80,,http://www.gamesradar.com/dmc-devil-may-cry-definitive-edition-review/,,,,,,,
IGN Spain,77,,http://es.ign.com/dmc-devil-may-cry-definitive-edition-ps4-1/91731/review/dmc-definitive-edition-analisis-para-ps4-y-xbox-on,,,,,,,
Level7.nu,70,,http://level7.nu/texter/read.php?id=229388,,,,,,,
Atomix,70,,http://atomix.vg/2015/03/10/review-dmc-devil-may-cry-definitive-edition/,,,,,,,
Polygon,85,Doki-Doki Universe,http://www.polygon.com/2013/12/12/5203276/doki-doki-universe-review-have-a-heart,http:,www.polygon.com,2013,12,12,5203276,doki-doki-universe-review-have-a-heart
IGN Italia,80,,http://it.ign.com/recensione/10862/recensione-ps4-ps3-psvita-doki-doki-universe,,,,,,,
Joystiq,80,,http://www.joystiq.com/2013/12/10/doki-doki-universe-review-love-machine/,,,,,,,
Games Master UK,78,,http://www.ztgd.com/reviews/doki-doki-universe/,,,,,,,
ZTGD,78,,http://www.xgn.nl/ps4/review/53169/doki-doki-universe/,,,,,,,
XGN,75,,http://www.everyeye.it/ps4/articoli/doki-doki-universe_recensione_21289,,,,,,,
Everyeye.it,75,,http://www.gameinformer.com/games/doki-doki_universe/b/playstation4/archive/2013/12/13/humanature-39-s-whimsical-adventure-is-far-from-robotic.aspx,,,,,,,
Game Informer,75,,http://www.gamingnexus.com/Article/Doki-Doki-Universe/Item4277.aspx,,,,,,,
